"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2019-12-27 20:51:18 +01:00"

Year,"Country / territory of asylum/residence",Origin,"Population type",Value
2002,"United Arab Emirates",Afghanistan,Asylum-seekers,16
2002,"United Arab Emirates",Afghanistan,"Refugees (incl. refugee-like situations)",6
2002,Argentina,Afghanistan,Asylum-seekers,1
2002,Australia,Afghanistan,Asylum-seekers,128
2002,Australia,Afghanistan,"Refugees (incl. refugee-like situations)",6943
2002,Austria,Afghanistan,"Refugees (incl. refugee-like situations)",1270
2002,Azerbaijan,Afghanistan,Asylum-seekers,919
2002,Azerbaijan,Afghanistan,"Refugees (incl. refugee-like situations)",257
2002,Belgium,Afghanistan,"Refugees (incl. refugee-like situations)",248
2002,Bangladesh,Afghanistan,"Refugees (incl. refugee-like situations)",1
2002,Bulgaria,Afghanistan,Asylum-seekers,357
2002,Bulgaria,Afghanistan,"Refugees (incl. refugee-like situations)",1733
2002,Belarus,Afghanistan,Asylum-seekers,176
2002,Belarus,Afghanistan,"Refugees (incl. refugee-like situations)",478
2002,Brazil,Afghanistan,"Refugees (incl. refugee-like situations)",24
2002,Canada,Afghanistan,Asylum-seekers,305
2002,Canada,Afghanistan,"Refugees (incl. refugee-like situations)",12957
2002,Switzerland,Afghanistan,Asylum-seekers,699
2002,Switzerland,Afghanistan,"Refugees (incl. refugee-like situations)",1365
2002,Chile,Afghanistan,Asylum-seekers,2
2002,Chile,Afghanistan,"Refugees (incl. refugee-like situations)",5
2002,China,Afghanistan,"Refugees (incl. refugee-like situations)",8
2002,"Côte d'Ivoire",Afghanistan,Asylum-seekers,6
2002,"Côte d'Ivoire",Afghanistan,"Refugees (incl. refugee-like situations)",5
2002,Cuba,Afghanistan,"Refugees (incl. refugee-like situations)",24
2002,Cyprus,Afghanistan,Asylum-seekers,19
2002,Cyprus,Afghanistan,"Refugees (incl. refugee-like situations)",3
2002,"Czech Rep.",Afghanistan,Asylum-seekers,47
2002,"Czech Rep.",Afghanistan,"Refugees (incl. refugee-like situations)",216
2002,Germany,Afghanistan,Asylum-seekers,12074
2002,Germany,Afghanistan,"Refugees (incl. refugee-like situations)",52289
2002,Denmark,Afghanistan,Asylum-seekers,1437
2002,Denmark,Afghanistan,"Refugees (incl. refugee-like situations)",5766
2002,Ecuador,Afghanistan,"Refugees (incl. refugee-like situations)",29
2002,Egypt,Afghanistan,"Refugees (incl. refugee-like situations)",43
2002,Spain,Afghanistan,"Refugees (incl. refugee-like situations)",145
2002,Estonia,Afghanistan,Asylum-seekers,1
2002,Estonia,Afghanistan,"Refugees (incl. refugee-like situations)",6
2002,Ethiopia,Afghanistan,"Refugees (incl. refugee-like situations)",3
2002,Finland,Afghanistan,"Refugees (incl. refugee-like situations)",932
2002,France,Afghanistan,"Refugees (incl. refugee-like situations)",1256
2002,"United Kingdom",Afghanistan,"Refugees (incl. refugee-like situations)",20305
2002,Georgia,Afghanistan,"Refugees (incl. refugee-like situations)",3
2002,Greece,Afghanistan,Asylum-seekers,375
2002,Greece,Afghanistan,"Refugees (incl. refugee-like situations)",137
2002,"China, Hong Kong SAR",Afghanistan,Asylum-seekers,4
2002,Croatia,Afghanistan,Asylum-seekers,4
2002,Hungary,Afghanistan,Asylum-seekers,252
2002,Hungary,Afghanistan,"Refugees (incl. refugee-like situations)",1319
2002,Indonesia,Afghanistan,Asylum-seekers,47
2002,Indonesia,Afghanistan,"Refugees (incl. refugee-like situations)",148
2002,India,Afghanistan,Asylum-seekers,130
2002,India,Afghanistan,"Refugees (incl. refugee-like situations)",11371
2002,Ireland,Afghanistan,"Refugees (incl. refugee-like situations)",41
2002,"Iran (Islamic Rep. of)",Afghanistan,"Refugees (incl. refugee-like situations)",1104909
2002,Italy,Afghanistan,"Refugees (incl. refugee-like situations)",183
2002,Jordan,Afghanistan,Asylum-seekers,6
2002,Japan,Afghanistan,Asylum-seekers,49
2002,Japan,Afghanistan,"Refugees (incl. refugee-like situations)",62
2002,Kazakhstan,Afghanistan,Asylum-seekers,2
2002,Kazakhstan,Afghanistan,"Refugees (incl. refugee-like situations)",2250
2002,Kyrgyzstan,Afghanistan,Asylum-seekers,104
2002,Kyrgyzstan,Afghanistan,"Refugees (incl. refugee-like situations)",871
2002,Cambodia,Afghanistan,"Refugees (incl. refugee-like situations)",15
2002,"Rep. of Korea",Afghanistan,Asylum-seekers,1
2002,"Rep. of Korea",Afghanistan,"Refugees (incl. refugee-like situations)",1
2002,Kuwait,Afghanistan,Asylum-seekers,35
2002,Kuwait,Afghanistan,"Refugees (incl. refugee-like situations)",78
2002,Lebanon,Afghanistan,"Refugees (incl. refugee-like situations)",47
2002,"Sri Lanka",Afghanistan,Asylum-seekers,13
2002,"Sri Lanka",Afghanistan,"Refugees (incl. refugee-like situations)",1
2002,Lithuania,Afghanistan,Asylum-seekers,27
2002,Lithuania,Afghanistan,"Refugees (incl. refugee-like situations)",84
2002,Latvia,Afghanistan,"Refugees (incl. refugee-like situations)",1
2002,Morocco,Afghanistan,"Refugees (incl. refugee-like situations)",8
2002,"Rep. of Moldova",Afghanistan,Asylum-seekers,7
2002,"Rep. of Moldova",Afghanistan,"Refugees (incl. refugee-like situations)",5
2002,Mexico,Afghanistan,"Refugees (incl. refugee-like situations)",7
2002,"The former Yugoslav Republic of Macedonia",Afghanistan,"Refugees (incl. refugee-like situations)",1
2002,Malta,Afghanistan,"Refugees (incl. refugee-like situations)",8
2002,Mozambique,Afghanistan,Asylum-seekers,1
2002,Malaysia,Afghanistan,Asylum-seekers,13
2002,Malaysia,Afghanistan,"Refugees (incl. refugee-like situations)",36
2002,Netherlands,Afghanistan,Asylum-seekers,5706
2002,Netherlands,Afghanistan,"Refugees (incl. refugee-like situations)",26001
2002,Norway,Afghanistan,"Refugees (incl. refugee-like situations)",2284
2002,"New Zealand",Afghanistan,"Refugees (incl. refugee-like situations)",562
2002,Oman,Afghanistan,Asylum-seekers,16
2002,Pakistan,Afghanistan,"Refugees (incl. refugee-like situations)",1226569
2002,Poland,Afghanistan,Asylum-seekers,252
2002,Poland,Afghanistan,"Refugees (incl. refugee-like situations)",65
2002,Portugal,Afghanistan,"Refugees (incl. refugee-like situations)",5
2002,Qatar,Afghanistan,"Refugees (incl. refugee-like situations)",40
2002,Romania,Afghanistan,"Refugees (incl. refugee-like situations)",295
2002,"Russian Federation",Afghanistan,Asylum-seekers,541
2002,"Russian Federation",Afghanistan,"Refugees (incl. refugee-like situations)",1493
2002,"Saudi Arabia",Afghanistan,Asylum-seekers,26
2002,"Saudi Arabia",Afghanistan,"Refugees (incl. refugee-like situations)",149
2002,Singapore,Afghanistan,"Refugees (incl. refugee-like situations)",1
2002,"Serbia and Kosovo (S/RES/1244 (1999))",Afghanistan,Asylum-seekers,13
2002,"Serbia and Kosovo (S/RES/1244 (1999))",Afghanistan,"Refugees (incl. refugee-like situations)",7
2002,Slovakia,Afghanistan,Asylum-seekers,552
2002,Slovakia,Afghanistan,"Refugees (incl. refugee-like situations)",183
2002,Sweden,Afghanistan,Asylum-seekers,528
2002,Sweden,Afghanistan,"Refugees (incl. refugee-like situations)",3185
2002,"Syrian Arab Rep.",Afghanistan,"Refugees (incl. refugee-like situations)",428
2002,Thailand,Afghanistan,Asylum-seekers,4
2002,Thailand,Afghanistan,"Refugees (incl. refugee-like situations)",14
2002,Tajikistan,Afghanistan,Asylum-seekers,355
2002,Tajikistan,Afghanistan,"Refugees (incl. refugee-like situations)",3427
2002,Turkmenistan,Afghanistan,Asylum-seekers,2
2002,Turkmenistan,Afghanistan,"Refugees (incl. refugee-like situations)",1263
2002,Turkey,Afghanistan,Asylum-seekers,80
2002,Turkey,Afghanistan,"Refugees (incl. refugee-like situations)",103
2002,Ukraine,Afghanistan,"Refugees (incl. refugee-like situations)",1572
2002,"United States of America",Afghanistan,Asylum-seekers,295
2002,"United States of America",Afghanistan,"Refugees (incl. refugee-like situations)",8932
2002,Uzbekistan,Afghanistan,Asylum-seekers,1060
2002,Uzbekistan,Afghanistan,"Refugees (incl. refugee-like situations)",5716
2002,"South Africa",Afghanistan,Asylum-seekers,7
2002,"South Africa",Afghanistan,"Refugees (incl. refugee-like situations)",15
2002,Zimbabwe,Afghanistan,"Refugees (incl. refugee-like situations)",82
2003,Afghanistan,Afghanistan,"Internally displaced persons",184269
2003,"United Arab Emirates",Afghanistan,"Refugees (incl. refugee-like situations)",6
2003,Argentina,Afghanistan,Asylum-seekers,1
2003,Australia,Afghanistan,Asylum-seekers,379
2003,Australia,Afghanistan,"Refugees (incl. refugee-like situations)",7240
2003,Austria,Afghanistan,"Refugees (incl. refugee-like situations)",1595
2003,Azerbaijan,Afghanistan,Asylum-seekers,925
2003,Azerbaijan,Afghanistan,"Refugees (incl. refugee-like situations)",171
2003,Belgium,Afghanistan,Asylum-seekers,372
2003,Belgium,Afghanistan,"Refugees (incl. refugee-like situations)",541
2003,Bangladesh,Afghanistan,"Refugees (incl. refugee-like situations)",1
2003,Bulgaria,Afghanistan,Asylum-seekers,332
2003,Bulgaria,Afghanistan,"Refugees (incl. refugee-like situations)",1829
2003,Belarus,Afghanistan,Asylum-seekers,162
2003,Belarus,Afghanistan,"Refugees (incl. refugee-like situations)",459
2003,Brazil,Afghanistan,"Refugees (incl. refugee-like situations)",11
2003,Canada,Afghanistan,Asylum-seekers,175
2003,Canada,Afghanistan,"Refugees (incl. refugee-like situations)",14616
2003,Switzerland,Afghanistan,Asylum-seekers,190
2003,Switzerland,Afghanistan,"Refugees (incl. refugee-like situations)",1598
2003,Chile,Afghanistan,"Refugees (incl. refugee-like situations)",17
2003,China,Afghanistan,"Refugees (incl. refugee-like situations)",8
2003,"Côte d'Ivoire",Afghanistan,Asylum-seekers,13
2003,"Côte d'Ivoire",Afghanistan,"Refugees (incl. refugee-like situations)",7
2003,Cuba,Afghanistan,"Refugees (incl. refugee-like situations)",23
2003,Cyprus,Afghanistan,Asylum-seekers,68
2003,Cyprus,Afghanistan,"Refugees (incl. refugee-like situations)",3
2003,"Czech Rep.",Afghanistan,Asylum-seekers,23
2003,"Czech Rep.",Afghanistan,"Refugees (incl. refugee-like situations)",240
2003,Germany,Afghanistan,Asylum-seekers,2529
2003,Germany,Afghanistan,"Refugees (incl. refugee-like situations)",46975
2003,Denmark,Afghanistan,Asylum-seekers,299
2003,Denmark,Afghanistan,"Refugees (incl. refugee-like situations)",6369
2003,Ecuador,Afghanistan,Asylum-seekers,3
2003,Ecuador,Afghanistan,"Refugees (incl. refugee-like situations)",29
2003,Egypt,Afghanistan,"Refugees (incl. refugee-like situations)",35
2003,Spain,Afghanistan,"Refugees (incl. refugee-like situations)",94
2003,Estonia,Afghanistan,"Refugees (incl. refugee-like situations)",6
2003,Ethiopia,Afghanistan,"Refugees (incl. refugee-like situations)",3
2003,Finland,Afghanistan,"Refugees (incl. refugee-like situations)",1101
2003,France,Afghanistan,"Refugees (incl. refugee-like situations)",1167
2003,"United Kingdom",Afghanistan,"Refugees (incl. refugee-like situations)",21718
2003,Georgia,Afghanistan,"Refugees (incl. refugee-like situations)",4
2003,Greece,Afghanistan,Asylum-seekers,440
2003,Greece,Afghanistan,"Refugees (incl. refugee-like situations)",135
2003,"China, Hong Kong SAR",Afghanistan,Asylum-seekers,4
2003,Croatia,Afghanistan,"Refugees (incl. refugee-like situations)",1
2003,Hungary,Afghanistan,Asylum-seekers,86
2003,Hungary,Afghanistan,"Refugees (incl. refugee-like situations)",1705
2003,Indonesia,Afghanistan,Asylum-seekers,3
2003,Indonesia,Afghanistan,"Refugees (incl. refugee-like situations)",79
2003,India,Afghanistan,Asylum-seekers,88
2003,India,Afghanistan,"Refugees (incl. refugee-like situations)",10283
2003,Ireland,Afghanistan,Asylum-seekers,22
2003,Ireland,Afghanistan,"Refugees (incl. refugee-like situations)",38
2003,"Iran (Islamic Rep. of)",Afghanistan,"Refugees (incl. refugee-like situations)",834699
2003,Iceland,Afghanistan,Asylum-seekers,1
2003,Italy,Afghanistan,"Refugees (incl. refugee-like situations)",186
2003,Japan,Afghanistan,Asylum-seekers,24
2003,Japan,Afghanistan,"Refugees (incl. refugee-like situations)",61
2003,Kazakhstan,Afghanistan,"Refugees (incl. refugee-like situations)",657
2003,Kyrgyzstan,Afghanistan,Asylum-seekers,109
2003,Kyrgyzstan,Afghanistan,"Refugees (incl. refugee-like situations)",648
2003,Cambodia,Afghanistan,"Refugees (incl. refugee-like situations)",13
2003,"Rep. of Korea",Afghanistan,Asylum-seekers,2
2003,"Rep. of Korea",Afghanistan,"Refugees (incl. refugee-like situations)",1
2003,Kuwait,Afghanistan,Asylum-seekers,36
2003,Kuwait,Afghanistan,"Refugees (incl. refugee-like situations)",78
2003,Lebanon,Afghanistan,"Refugees (incl. refugee-like situations)",49
2003,"Sri Lanka",Afghanistan,Asylum-seekers,3
2003,"Sri Lanka",Afghanistan,"Refugees (incl. refugee-like situations)",12
2003,Lithuania,Afghanistan,Asylum-seekers,16
2003,Lithuania,Afghanistan,"Refugees (incl. refugee-like situations)",89
2003,Latvia,Afghanistan,"Refugees (incl. refugee-like situations)",1
2003,Morocco,Afghanistan,"Refugees (incl. refugee-like situations)",8
2003,"Rep. of Moldova",Afghanistan,Asylum-seekers,5
2003,"Rep. of Moldova",Afghanistan,"Refugees (incl. refugee-like situations)",5
2003,Mexico,Afghanistan,"Refugees (incl. refugee-like situations)",2
2003,"The former Yugoslav Republic of Macedonia",Afghanistan,"Refugees (incl. refugee-like situations)",1
2003,Malta,Afghanistan,"Refugees (incl. refugee-like situations)",8
2003,Mozambique,Afghanistan,Asylum-seekers,1
2003,Malaysia,Afghanistan,Asylum-seekers,6
2003,Malaysia,Afghanistan,"Refugees (incl. refugee-like situations)",18
2003,Netherlands,Afghanistan,Asylum-seekers,3712
2003,Netherlands,Afghanistan,"Refugees (incl. refugee-like situations)",26433
2003,Norway,Afghanistan,"Refugees (incl. refugee-like situations)",3309
2003,"New Zealand",Afghanistan,Asylum-seekers,11
2003,"New Zealand",Afghanistan,"Refugees (incl. refugee-like situations)",618
2003,Oman,Afghanistan,Asylum-seekers,16
2003,Pakistan,Afghanistan,Asylum-seekers,12759
2003,Pakistan,Afghanistan,"Refugees (incl. refugee-like situations)",1123647
2003,Philippines,Afghanistan,Asylum-seekers,1
2003,Poland,Afghanistan,Asylum-seekers,85
2003,Poland,Afghanistan,"Refugees (incl. refugee-like situations)",70
2003,Portugal,Afghanistan,"Refugees (incl. refugee-like situations)",5
2003,Qatar,Afghanistan,"Refugees (incl. refugee-like situations)",40
2003,Romania,Afghanistan,Asylum-seekers,3
2003,Romania,Afghanistan,"Refugees (incl. refugee-like situations)",298
2003,"Russian Federation",Afghanistan,Asylum-seekers,234
2003,"Russian Federation",Afghanistan,"Refugees (incl. refugee-like situations)",1541
2003,"Saudi Arabia",Afghanistan,Asylum-seekers,15
2003,"Saudi Arabia",Afghanistan,"Refugees (incl. refugee-like situations)",107
2003,"Sierra Leone",Afghanistan,Asylum-seekers,2
2003,"Serbia and Kosovo (S/RES/1244 (1999))",Afghanistan,Asylum-seekers,7
2003,"Serbia and Kosovo (S/RES/1244 (1999))",Afghanistan,"Refugees (incl. refugee-like situations)",2
2003,Slovakia,Afghanistan,Asylum-seekers,469
2003,Slovakia,Afghanistan,"Refugees (incl. refugee-like situations)",165
2003,Sweden,Afghanistan,Asylum-seekers,877
2003,Sweden,Afghanistan,"Refugees (incl. refugee-like situations)",3425
2003,"Syrian Arab Rep.",Afghanistan,"Refugees (incl. refugee-like situations)",425
2003,Chad,Afghanistan,"Refugees (incl. refugee-like situations)",14
2003,Thailand,Afghanistan,Asylum-seekers,2
2003,Thailand,Afghanistan,"Refugees (incl. refugee-like situations)",12
2003,Tajikistan,Afghanistan,Asylum-seekers,433
2003,Tajikistan,Afghanistan,"Refugees (incl. refugee-like situations)",3304
2003,Turkmenistan,Afghanistan,"Refugees (incl. refugee-like situations)",1224
2003,Turkey,Afghanistan,Asylum-seekers,44
2003,Turkey,Afghanistan,"Refugees (incl. refugee-like situations)",83
2003,Ukraine,Afghanistan,Asylum-seekers,158
2003,Ukraine,Afghanistan,"Refugees (incl. refugee-like situations)",1510
2003,"United States of America",Afghanistan,Asylum-seekers,220
2003,"United States of America",Afghanistan,"Refugees (incl. refugee-like situations)",9601
2003,Uzbekistan,Afghanistan,Asylum-seekers,928
2003,Uzbekistan,Afghanistan,"Refugees (incl. refugee-like situations)",5470
2003,"South Africa",Afghanistan,Asylum-seekers,22
2003,"South Africa",Afghanistan,"Refugees (incl. refugee-like situations)",15
2003,Zimbabwe,Afghanistan,"Refugees (incl. refugee-like situations)",82
2004,Afghanistan,Afghanistan,"Internally displaced persons",159549
2004,Argentina,Afghanistan,Asylum-seekers,1
2004,Australia,Afghanistan,Asylum-seekers,289
2004,Australia,Afghanistan,"Refugees (incl. refugee-like situations)",8037
2004,Austria,Afghanistan,"Refugees (incl. refugee-like situations)",2482
2004,Azerbaijan,Afghanistan,Asylum-seekers,893
2004,Azerbaijan,Afghanistan,"Refugees (incl. refugee-like situations)",148
2004,Belgium,Afghanistan,Asylum-seekers,84
2004,Belgium,Afghanistan,"Refugees (incl. refugee-like situations)",536
2004,Bangladesh,Afghanistan,"Refugees (incl. refugee-like situations)",1
2004,Bulgaria,Afghanistan,Asylum-seekers,425
2004,Bulgaria,Afghanistan,"Refugees (incl. refugee-like situations)",1908
2004,Belarus,Afghanistan,Asylum-seekers,35
2004,Belarus,Afghanistan,"Refugees (incl. refugee-like situations)",534
2004,Brazil,Afghanistan,"Refugees (incl. refugee-like situations)",11
2004,Canada,Afghanistan,Asylum-seekers,153
2004,Canada,Afghanistan,"Refugees (incl. refugee-like situations)",15242
2004,Switzerland,Afghanistan,Asylum-seekers,195
2004,Switzerland,Afghanistan,"Refugees (incl. refugee-like situations)",1524
2004,Chile,Afghanistan,Asylum-seekers,1
2004,Chile,Afghanistan,"Refugees (incl. refugee-like situations)",15
2004,China,Afghanistan,"Refugees (incl. refugee-like situations)",7
2004,"Côte d'Ivoire",Afghanistan,Asylum-seekers,12
2004,"Côte d'Ivoire",Afghanistan,"Refugees (incl. refugee-like situations)",7
2004,Cuba,Afghanistan,"Refugees (incl. refugee-like situations)",17
2004,Cyprus,Afghanistan,Asylum-seekers,138
2004,Cyprus,Afghanistan,"Refugees (incl. refugee-like situations)",9
2004,"Czech Rep.",Afghanistan,Asylum-seekers,12
2004,"Czech Rep.",Afghanistan,"Refugees (incl. refugee-like situations)",247
2004,Germany,Afghanistan,Asylum-seekers,505
2004,Germany,Afghanistan,"Refugees (incl. refugee-like situations)",38576
2004,Denmark,Afghanistan,Asylum-seekers,159
2004,Denmark,Afghanistan,"Refugees (incl. refugee-like situations)",6437
2004,Ecuador,Afghanistan,Asylum-seekers,1
2004,Ecuador,Afghanistan,"Refugees (incl. refugee-like situations)",29
2004,Egypt,Afghanistan,"Refugees (incl. refugee-like situations)",35
2004,Spain,Afghanistan,"Refugees (incl. refugee-like situations)",88
2004,Estonia,Afghanistan,"Refugees (incl. refugee-like situations)",6
2004,Ethiopia,Afghanistan,"Refugees (incl. refugee-like situations)",4
2004,Finland,Afghanistan,"Refugees (incl. refugee-like situations)",1342
2004,France,Afghanistan,"Refugees (incl. refugee-like situations)",1220
2004,"United Kingdom",Afghanistan,"Refugees (incl. refugee-like situations)",22494
2004,Georgia,Afghanistan,"Refugees (incl. refugee-like situations)",4
2004,Greece,Afghanistan,Asylum-seekers,545
2004,Greece,Afghanistan,"Refugees (incl. refugee-like situations)",145
2004,"China, Hong Kong SAR",Afghanistan,Asylum-seekers,3
2004,"China, Hong Kong SAR",Afghanistan,"Refugees (incl. refugee-like situations)",1
2004,Croatia,Afghanistan,"Refugees (incl. refugee-like situations)",1
2004,Hungary,Afghanistan,Asylum-seekers,5
2004,Hungary,Afghanistan,"Refugees (incl. refugee-like situations)",2497
2004,Indonesia,Afghanistan,Asylum-seekers,8
2004,Indonesia,Afghanistan,"Refugees (incl. refugee-like situations)",45
2004,India,Afghanistan,Asylum-seekers,70
2004,India,Afghanistan,"Refugees (incl. refugee-like situations)",9761
2004,Ireland,Afghanistan,Asylum-seekers,95
2004,Ireland,Afghanistan,"Refugees (incl. refugee-like situations)",58
2004,"Iran (Islamic Rep. of)",Afghanistan,Asylum-seekers,24
2004,"Iran (Islamic Rep. of)",Afghanistan,"Refugees (incl. refugee-like situations)",952802
2004,Iceland,Afghanistan,Asylum-seekers,3
2004,Italy,Afghanistan,"Refugees (incl. refugee-like situations)",242
2004,Jordan,Afghanistan,"Refugees (incl. refugee-like situations)",2
2004,Japan,Afghanistan,Asylum-seekers,29
2004,Japan,Afghanistan,"Refugees (incl. refugee-like situations)",61
2004,Kazakhstan,Afghanistan,"Refugees (incl. refugee-like situations)",670
2004,Kyrgyzstan,Afghanistan,Asylum-seekers,128
2004,Kyrgyzstan,Afghanistan,"Refugees (incl. refugee-like situations)",258
2004,Cambodia,Afghanistan,"Refugees (incl. refugee-like situations)",7
2004,"Rep. of Korea",Afghanistan,"Refugees (incl. refugee-like situations)",1
2004,Kuwait,Afghanistan,Asylum-seekers,37
2004,Kuwait,Afghanistan,"Refugees (incl. refugee-like situations)",78
2004,Lebanon,Afghanistan,"Refugees (incl. refugee-like situations)",31
2004,Libya,Afghanistan,Asylum-seekers,1
2004,"Sri Lanka",Afghanistan,"Refugees (incl. refugee-like situations)",15
2004,Lithuania,Afghanistan,Asylum-seekers,4
2004,Lithuania,Afghanistan,"Refugees (incl. refugee-like situations)",94
2004,Latvia,Afghanistan,"Refugees (incl. refugee-like situations)",1
2004,"Rep. of Moldova",Afghanistan,Asylum-seekers,4
2004,"Rep. of Moldova",Afghanistan,"Refugees (incl. refugee-like situations)",5
2004,Mexico,Afghanistan,"Refugees (incl. refugee-like situations)",1
2004,"The former Yugoslav Republic of Macedonia",Afghanistan,"Refugees (incl. refugee-like situations)",1
2004,Malta,Afghanistan,"Refugees (incl. refugee-like situations)",8
2004,Mozambique,Afghanistan,"Refugees (incl. refugee-like situations)",1
2004,Malaysia,Afghanistan,Asylum-seekers,27
2004,Malaysia,Afghanistan,"Refugees (incl. refugee-like situations)",26
2004,Netherlands,Afghanistan,Asylum-seekers,2788
2004,Netherlands,Afghanistan,"Refugees (incl. refugee-like situations)",25907
2004,Norway,Afghanistan,"Refugees (incl. refugee-like situations)",3693
2004,"New Zealand",Afghanistan,Asylum-seekers,6
2004,"New Zealand",Afghanistan,"Refugees (incl. refugee-like situations)",1142
2004,Oman,Afghanistan,Asylum-seekers,16
2004,Pakistan,Afghanistan,Asylum-seekers,7164
2004,Pakistan,Afghanistan,"Refugees (incl. refugee-like situations)",1290408
2004,Poland,Afghanistan,Asylum-seekers,17
2004,Poland,Afghanistan,"Refugees (incl. refugee-like situations)",90
2004,Portugal,Afghanistan,"Refugees (incl. refugee-like situations)",5
2004,Qatar,Afghanistan,"Refugees (incl. refugee-like situations)",40
2004,Romania,Afghanistan,Asylum-seekers,1
2004,Romania,Afghanistan,"Refugees (incl. refugee-like situations)",280
2004,"Russian Federation",Afghanistan,Asylum-seekers,253
2004,"Russian Federation",Afghanistan,"Refugees (incl. refugee-like situations)",1488
2004,"Saudi Arabia",Afghanistan,Asylum-seekers,8
2004,"Sierra Leone",Afghanistan,Asylum-seekers,1
2004,"Serbia and Kosovo (S/RES/1244 (1999))",Afghanistan,"Refugees (incl. refugee-like situations)",2
2004,Slovakia,Afghanistan,Asylum-seekers,354
2004,Slovakia,Afghanistan,"Refugees (incl. refugee-like situations)",122
2004,Slovenia,Afghanistan,Asylum-seekers,2
2004,Sweden,Afghanistan,Asylum-seekers,1172
2004,Sweden,Afghanistan,"Refugees (incl. refugee-like situations)",3903
2004,"Syrian Arab Rep.",Afghanistan,Asylum-seekers,54
2004,"Syrian Arab Rep.",Afghanistan,"Refugees (incl. refugee-like situations)",360
2004,Thailand,Afghanistan,Asylum-seekers,1
2004,Thailand,Afghanistan,"Refugees (incl. refugee-like situations)",3
2004,Tajikistan,Afghanistan,"Refugees (incl. refugee-like situations)",1816
2004,Turkmenistan,Afghanistan,Asylum-seekers,1
2004,Turkmenistan,Afghanistan,"Refugees (incl. refugee-like situations)",1030
2004,Turkey,Afghanistan,Asylum-seekers,330
2004,Turkey,Afghanistan,"Refugees (incl. refugee-like situations)",64
2004,Ukraine,Afghanistan,Asylum-seekers,343
2004,Ukraine,Afghanistan,"Refugees (incl. refugee-like situations)",1290
2004,"United States of America",Afghanistan,Asylum-seekers,145
2004,"United States of America",Afghanistan,"Refugees (incl. refugee-like situations)",9778
2004,Uzbekistan,Afghanistan,Asylum-seekers,426
2004,Uzbekistan,Afghanistan,"Refugees (incl. refugee-like situations)",5238
2004,"South Africa",Afghanistan,Asylum-seekers,22
2004,"South Africa",Afghanistan,"Refugees (incl. refugee-like situations)",15
2004,Zimbabwe,Afghanistan,"Refugees (incl. refugee-like situations)",22
2005,Afghanistan,Afghanistan,"Internally displaced persons",142505
2005,Argentina,Afghanistan,Asylum-seekers,1
2005,Armenia,Afghanistan,Asylum-seekers,1
2005,Australia,Afghanistan,Asylum-seekers,30
2005,Australia,Afghanistan,"Refugees (incl. refugee-like situations)",8082
2005,Austria,Afghanistan,"Refugees (incl. refugee-like situations)",2991
2005,Azerbaijan,Afghanistan,Asylum-seekers,52
2005,Azerbaijan,Afghanistan,"Refugees (incl. refugee-like situations)",90
2005,Belgium,Afghanistan,Asylum-seekers,106
2005,Belgium,Afghanistan,"Refugees (incl. refugee-like situations)",381
2005,Bangladesh,Afghanistan,"Refugees (incl. refugee-like situations)",1
2005,Bulgaria,Afghanistan,Asylum-seekers,390
2005,Bulgaria,Afghanistan,"Refugees (incl. refugee-like situations)",1930
2005,Belarus,Afghanistan,Asylum-seekers,29
2005,Belarus,Afghanistan,"Refugees (incl. refugee-like situations)",517
2005,"Bolivia (Plurinational State of)",Afghanistan,Asylum-seekers,1
2005,"Bolivia (Plurinational State of)",Afghanistan,"Refugees (incl. refugee-like situations)",2
2005,Brazil,Afghanistan,"Refugees (incl. refugee-like situations)",18
2005,Canada,Afghanistan,Asylum-seekers,224
2005,Canada,Afghanistan,"Refugees (incl. refugee-like situations)",15535
2005,Switzerland,Afghanistan,Asylum-seekers,188
2005,Switzerland,Afghanistan,"Refugees (incl. refugee-like situations)",1595
2005,Chile,Afghanistan,"Refugees (incl. refugee-like situations)",16
2005,China,Afghanistan,"Refugees (incl. refugee-like situations)",7
2005,"Côte d'Ivoire",Afghanistan,Asylum-seekers,10
2005,"Côte d'Ivoire",Afghanistan,"Refugees (incl. refugee-like situations)",7
2005,Cuba,Afghanistan,"Refugees (incl. refugee-like situations)",9
2005,Cyprus,Afghanistan,Asylum-seekers,155
2005,Cyprus,Afghanistan,"Refugees (incl. refugee-like situations)",3
2005,"Czech Rep.",Afghanistan,Asylum-seekers,3
2005,"Czech Rep.",Afghanistan,"Refugees (incl. refugee-like situations)",241
2005,Germany,Afghanistan,Asylum-seekers,5081
2005,Germany,Afghanistan,"Refugees (incl. refugee-like situations)",31055
2005,Denmark,Afghanistan,Asylum-seekers,80
2005,Denmark,Afghanistan,"Refugees (incl. refugee-like situations)",6381
2005,Ecuador,Afghanistan,"Refugees (incl. refugee-like situations)",29
2005,Egypt,Afghanistan,"Refugees (incl. refugee-like situations)",31
2005,Spain,Afghanistan,"Refugees (incl. refugee-like situations)",87
2005,Estonia,Afghanistan,"Refugees (incl. refugee-like situations)",2
2005,Ethiopia,Afghanistan,"Refugees (incl. refugee-like situations)",1
2005,Finland,Afghanistan,"Refugees (incl. refugee-like situations)",1604
2005,France,Afghanistan,"Refugees (incl. refugee-like situations)",1228
2005,"United Kingdom",Afghanistan,"Refugees (incl. refugee-like situations)",22532
